WiFi	LTE-U	WiFi_MIN	LTE-U_MIN
4.5	5.421722581012995	4.5	3.375
4.5	4.575421784121542	4.5	4.5
5.311448662780766	5.455803031680613	5.2	3.25
5.2	4.913436925948625	5.2	4.5
5.2	4.5	5.2	4.5
8.139571465225492	5.240359781381591	4.5	4.333333333333333
4.333333333333333	7.49308302308032	4.333333333333333	6.625
6.5	6.538549421003272	6.5	4.5
7.530829960240535	5.37692015341205	6.75	4.714285714285714
5.9827378046437785	6.73792542917393	4.5	4.5
5.2	6.146081591668693	5.2	4.5
5.2	5.2	5.2	5.2
5.028960587805405	5.2	4.5	5.2
4.547416311907423	5.205572144322074	4.5	4.333333333333333
6.5	5.8120916050738884	6.5	4.714285714285714
6.5	5.365902213386556	6.5	4.333333333333333
5.2	4.333333333333333	5.2	4.333333333333333
4.841108042679273	5.2	4.5	5.2
7.0153758517219185	6.197283013096309	4.5	5.5
6.75	5.5	6.75	5.5
5.111623189215605	6.231901568087761	4.5	4.5
4.5	5.896250581531261	4.5	5.2
6.5	5.5	6.5	5.5
4.5	4.5	4.5	4.5
4.333333333333333	7.995314404268093	4.333333333333333	5.888888888888889
6.0252834057055615	5.010720457813751	4.5	4.5
6.5	4.786502766425075	6.5	4.4
5.075590953555192	6.118397923185119	4.5	4.4
3.5714285714285716	5.622526241055141	3.5714285714285716	5.2
5.427212562038097	5.2	4.5	5.2
4.5	6.897165470205118	4.5	4.5
5.23557114763292	6.13873686131902	4.5	5.888888888888889
4.5	6.5	4.5	6.5
4.5	4.848838512690877	4.5	4.714285714285714
5.286421293268548	6.056896623004853	4.5	4.5
6.5	6.387161360323169	6.5	4.5
6.5	4.65342035261538	6.5	4.5
9.0	5.2	9.0	5.2
5.200000000000001	4.94423289566858	5.2	4.5
6.5	4.921470712766853	6.5	4.5
4.5	5.5	4.5	5.5
5.024942850732264	5.483302666546497	4.333333333333333	4.5
4.5	6.245157310601115	4.5	4.4
5.2	4.960286108425798	5.2	4.5
7.902498766010405	5.550165140175921	5.2	4.5
