WiFi	LTE-U	WiFi_MIN	LTE-U_MIN
7.625445889398651	9.0	5.2	9.0
9.0	7.800881826707013	9.0	6.625
6.75	9.036825676247334	6.75	8.25
8.90172679171912	10.132131864876085	6.75	8.666666666666666
9.0	7.227763481639421	9.0	6.5
6.75	6.75	6.75	6.75
10.812368030985855	9.0	8.666666666666666	9.0
8.350864319618124	7.784664659821363	6.5	6.625
9.0	8.3517648101697	9.0	7.571428571428571
9.0	10.037098837420247	9.0	8.25
8.666666666666666	11.022462340828124	8.666666666666666	9.4
8.67749223098604	9.237989814343031	6.5	8.666666666666666
8.67953977989633	9.161460674260704	8.666666666666666	8.666666666666666
9.0	8.836014669539116	9.0	6.75
11.646924637779396	6.75	6.75	6.75
8.421466417816628	5.591690790323734	6.5	5.2
13.5	6.75	13.5	6.75
9.0	9.0	9.0	9.0
8.666666666666666	13.5	8.666666666666666	13.5
5.223523793296626	9.580899588899237	4.5	9.4
7.86073555365744	8.833333333333334	6.5	8.833333333333334
8.666666666666666	12.185239036460748	8.666666666666666	8.666666666666666
6.5	10.673476473226414	6.5	9.4
10.127980805531825	6.75	8.666666666666666	6.75
9.0	9.0	9.0	9.0
7.766196910264419	8.520318111278966	6.5	6.5
5.2	9.597936561070838	5.2	7.571428571428571
9.996758827299463	10.019961480912386	8.666666666666666	7.571428571428571
9.0	12.276577015456859	9.0	8.666666666666666
6.620487313092321	8.698920820767675	5.2	6.5
9.0	6.75	9.0	6.75
6.75	13.5	6.75	13.5
9.63961656530797	11.583381900436255	8.666666666666666	6.75
6.75	9.0	6.75	9.0
11.680196837173725	9.0	6.75	9.0
9.304605636392086	12.318805653392428	8.666666666666666	6.75
10.362987242721282	9.52041635657973	8.666666666666666	8.833333333333334
6.75	9.0	6.75	9.0
8.964812094589496	9.0	8.666666666666666	9.0
4.5	9.0	4.5	9.0
